p=2,,,,,,,
q=3,,,,w1,1.369961336,,
,,,,w2,-0.373131519,MSE,41.55679039
Date,Y,Y(t-1),Y(t-2),Predict_AR,Err,Predict_MA,Predict
8/1/2003,104.7716,102.5243,91.3695,106.3614867,1.589886687,-6.44147283,99.92001386
9/1/2003,93.1841,104.7716,102.5243,105.2779933,12.09389333,-4.497997866,100.7799955
10/1/2003,86.7534,93.1841,104.7716,88.56502789,1.811627888,1.446398081,90.01142597
11/1/2003,88.828,86.7534,93.1841,84.078879,-4.749121001,5.165135969,89.24401497
12/1/2003,103.8162,88.828,86.7534,89.32049765,-14.49570235,3.052133406,92.37263105
1/1/2004,113.996,103.8162,88.828,109.0796535,-4.916346508,-5.811065156,103.2685883
2/1/2004,106.4378,113.996,103.8162,117.4330161,10.99521607,-8.053723288,109.3792928
3/1/2004,95.6626,106.4378,113.996,103.2801701,7.617570064,-2.805610931,100.4745591
4/1/2004,86.9849,95.6626,106.4378,91.33876532,4.353865322,4.565479875,95.9042452
5/1/2004,89.324,86.9849,95.6626,83.47121858,-5.852781421,7.655550485,91.12676906
6/1/2004,95.8104,89.324,86.9849,89.91361852,-5.896781479,2.039551322,91.95316984
7/1/2004,102.1007,95.8104,89.324,97.9269438,-4.173756205,-2.465232526,95.46171127
8/1/2004,100.4992,102.1007,95.8104,104.1241313,3.624931303,-5.307773035,98.81635827
9/1/2004,94.2998,100.4992,102.1007,99.58302903,5.28322903,-2.14853546,97.43449357
10/1/2004,87.7732,94.2998,100.4992,91.68766085,3.914460851,1.57813471,93.26579556
11/1/2004,89.8297,87.7732,94.2998,85.05966273,-4.770037266,4.274207062,89.3338698
12/1/2004,105.9787,89.8297,87.7732,90.31226839,-15.66643161,1.475884205,91.7881526
1/1/2005,111.4496,105.9787,89.8297,111.668429,0.218829039,-5.507336007,106.161093
2/1/2005,101.9498,111.4496,105.9787,113.1376496,11.18784961,-6.739213278,106.3984363
3/1/2005,99.2324,101.9498,111.4496,98.08192569,-1.150474313,-1.419917652,96.66200804
4/1/2005,86.6793,99.2324,101.9498,97.90386756,11.22456756,3.41873478,101.3226023
5/1/2005,87.3784,86.6793,99.2324,81.7205535,-5.657846502,7.087314286,88.80786778
6/1/2005,99.7382,87.3784,86.6793,87.36225074,-12.37594926,1.472082247,88.83433299
7/1/2005,108.8005,99.7382,87.3784,104.0338426,-4.766657386,-2.269742736,101.7640999
8/1/2005,109.9901,108.8005,99.7382,111.8370123,1.846912282,-7.60015105,104.2368612
9/1/2005,99.5563,109.9901,108.8005,110.0852885,10.52898852,-5.098564789,104.9867237
10/1/2005,90.1695,99.5563,109.9901,95.34750868,5.178008682,2.536414473,97.88392315
11/1/2005,90.6297,90.1695,99.5563,86.38113525,-4.248564746,5.851303163,92.23243842
12/1/2005,108.4977,90.6297,90.1695,90.5141024,-17.9835976,3.819477487,94.33357989
1/1/2006,104.8128,108.4977,90.6297,114.8208564,10.00805643,-5.684717887,109.1361385
2/1/2006,101.631,104.8128,108.4977,103.1055719,1.474571923,-4.074701971,99.03086995
3/1/2006,98.6932,101.631,104.8128,100.1215813,1.428381278,-2.166989748,97.95459153
4/1/2006,87.7035,98.6932,101.631,97.28413873,9.580638732,4.303669877,101.5878086
5/1/2006,90.2388,87.7035,98.6932,83.32486041,-6.913939586,4.161197311,87.48605772
6/1/2006,100.7836,90.2388,87.7035,90.89872684,-9.884873158,1.365026808,92.26375365
7/1/2006,111.3696,100.7836,90.2388,104.3986948,-6.970905202,-2.406058004,101.9926368
8/1/2006,111.9898,111.3696,100.7836,114.9665083,2.976708261,-7.923239315,107.0432689
9/1/2006,96.1212,111.9898,111.3696,111.866188,15.74498802,-4.6263567,107.2398313
10/1/2006,90.6869,96.1212,111.9898,89.8954034,-0.791496602,3.91693036,93.81233376
11/1/2006,92.5922,90.6869,96.1212,88.37169733,-4.22050267,5.976733227,94.34843056
12/1/2006,103.3658,92.5922,90.6869,93.00959328,-10.35620672,3.577662917,96.58725619
1/1/2007,112.3854,103.3658,92.5922,107.0580812,-5.327318757,-5.122735332,101.9353459
2/1/2007,112.1298,112.3854,103.3658,115.3946148,3.264814778,-6.63467605,108.7599387
3/1/2007,99.4689,112.1298,112.3854,111.6789556,12.21005561,-4.139570234,107.5393854
4/1/2007,91.045,99.4689,112.1298,94.42938455,3.38438455,3.382517211,97.81190176
5/1/2007,92.3001,91.045,99.4689,87.6131481,-4.686951901,6.286418313,93.89956641
6/1/2007,101.2636,92.3001,91.045,92.47580917,-8.787790827,3.63582942,96.11163859
7/1/2007,107.9356,101.2636,92.3001,104.2871402,-3.648459761,-3.363452726,100.9236875
8/1/2007,114.5031,107.9356,101.2636,110.0829579,-4.420142096,-5.707734163,104.3752237
9/1/2007,101.8592,114.5031,107.9356,116.5906455,14.73144548,-5.618797561,110.9718479
10/1/2007,93.282,101.8592,114.5031,96.8184501,3.536450098,2.220947876,99.03939797
11/1/2007,94.1475,93.282,101.8592,89.78585534,-4.361644662,4.615917828,94.40177317
12/1/2007,107.0407,94.1475,93.282,94.17198054,-12.86871946,4.635416973,98.80739751
1/1/2008,115.1667,107.0407,94.1475,111.5122207,-3.654479294,-4.564638009,106.9475827
2/1/2008,108.5191,115.1667,107.0407,117.8336672,9.314567223,-6.961614473,110.8720528
3/1/2008,100.7094,108.5191,115.1667,105.6946455,4.985245523,-2.402877178,103.2917683
4/1/2008,91.2095,100.7094,108.5191,97.47608756,6.266587562,3.548444484,101.024532
5/1/2008,91.4432,91.2095,100.7094,87.37563709,-4.067562911,6.85546677,94.23110386
6/1/2008,104.1756,91.4432,91.2095,91.24050917,-12.93509083,2.394756725,93.63526589
7/1/2008,111.08,104.1756,91.4432,108.596204,-2.483795952,-3.578688726,105.0175153
8/1/2008,107.8943,111.08,104.1756,113.3041053,5.409805346,-6.495483231,106.8086221
9/1/2008,98.0097,107.8943,111.08,106.3635703,8.353870259,-3.336360479,103.0272098
10/1/2008,91.2396,98.0097,107.8943,94.01073552,2.771135517,3.759959884,97.7706954
11/1/2008,94.032,91.2396,98.0097,88.42421609,-5.607783913,5.511603707,93.93581979
12/1/2008,109.6582,94.032,91.2396,94.77583382,-14.88236618,1.839073954,96.61490777
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
